Class	Field	Type	Description
ExcelScript.ChartAxisType	series	EnumField	Axis displays data series.
ExcelScript.ChartAxisType	value	EnumField	Axis displays values.
ExcelScript.ChartBinOptions		Class	Encapsulates the bin options for histogram charts and pareto charts.
ExcelScript.ChartBinOptions	getAllowOverflow()	Method	Specifies if bin overflow is enabled in a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getAllowUnderflow()	Method	Specifies if bin underflow is enabled in a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getCount()	Method	Specifies the bin count of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getOverflowValue()	Method	Specifies the bin overflow value of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getType()	Method	Specifies the bin's type for a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getUnderflowValue()	Method	Specifies the bin underflow value of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	getWidth()	Method	Specifies the bin width value of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setAllowOverflow(allowOverflow)	Method	Specifies if bin overflow is enabled in a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setAllowUnderflow(allowUnderflow)	Method	Specifies if bin underflow is enabled in a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setCount(count)	Method	Specifies the bin count of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setOverflowValue(overflowValue)	Method	Specifies the bin overflow value of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setType(type)	Method	Specifies the bin's type for a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setUnderflowValue(underflowValue)	Method	Specifies the bin underflow value of a histogram chart or pareto chart.
ExcelScript.ChartBinOptions	setWidth(width)	Method	Specifies the bin width value of a histogram chart or pareto chart.
ExcelScript.ChartBinType		Class	Specifies the bin type of a histogram chart or pareto chart series.
ExcelScript.ChartBinType	auto	EnumField	
ExcelScript.ChartBinType	binCount	EnumField	
ExcelScript.ChartBinType	binWidth	EnumField	
ExcelScript.ChartBinType	category	EnumField	
ExcelScript.ChartBorder		Class	Represents the border formatting of a chart element.
ExcelScript.ChartBorder	clear()	Method	Clear the border format of a chart element.
ExcelScript.ChartBorder	getColor()	Method	HTML color code representing the color of borders in the chart.
ExcelScript.ChartBorder	getLineStyle()	Method	Represents the line style of the border.
ExcelScript.ChartBorder	getWeight()	Method	Represents weight of the border  in points.
ExcelScript.ChartBorder	setColor(color)	Method	HTML color code representing the color of borders in the chart.
ExcelScript.ChartBorder	setLineStyle(lineStyle)	Method	Represents the line style of the border.
ExcelScript.ChartBorder	setWeight(weight)	Method	Represents weight of the border  in points.
ExcelScript.ChartBoxQuartileCalculation		Class	Represents the quartile calculation type of chart series layout.
ExcelScript.ChartBoxQuartileCalculation	exclusive	EnumField	
ExcelScript.ChartBoxQuartileCalculation	inclusive	EnumField	
ExcelScript.ChartBoxwhiskerOptions		Class	Represents the properties of a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	getQuartileCalculation()	Method	Specifies if the quartile calculation type of a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	getShowInnerPoints()	Method	Specifies if inner points are shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	getShowMeanLine()	Method	Specifies if the mean line is shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	getShowMeanMarker()	Method	Specifies if the mean marker is shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	getShowOutlierPoints()	Method	Specifies if outlier points are shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	setQuartileCalculation(quartileCalculation)	Method	Specifies if the quartile calculation type of a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	setShowInnerPoints(showInnerPoints)	Method	Specifies if inner points are shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	setShowMeanLine(showMeanLine)	Method	Specifies if the mean line is shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	setShowMeanMarker(showMeanMarker)	Method	Specifies if the mean marker is shown in a box and whisker chart.
ExcelScript.ChartBoxwhiskerOptions	setShowOutlierPoints(showOutlierPoints)	Method	Specifies if outlier points are shown in a box and whisker chart.
ExcelScript.ChartColorScheme		Class	
ExcelScript.ChartColorScheme	colorfulPalette1	EnumField	
ExcelScript.ChartColorScheme	colorfulPalette2	EnumField	
ExcelScript.ChartColorScheme	colorfulPalette3	EnumField	
ExcelScript.ChartColorScheme	colorfulPalette4	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette1	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette10	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette11	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette12	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette13	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette2	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette3	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette4	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette5	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette6	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette7	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette8	EnumField	
ExcelScript.ChartColorScheme	monochromaticPalette9	EnumField	
ExcelScript.ChartDataLabel		Class	Represents the data label of a chart point.
ExcelScript.ChartDataLabel	getAutoText()	Method	Specifies if the data label automatically generates appropriate text based on context.
ExcelScript.ChartDataLabel	getFormat()	Method	Represents the format of chart data label.
ExcelScript.ChartDataLabel	getFormula()	Method	String value that represents the formula of chart data label using A1-style notation.
ExcelScript.ChartDataLabel	getHeight()	Method	Returns the height  in points  of the chart data label.
ExcelScript.ChartDataLabel	getHorizontalAlignment()	Method	Represents the horizontal alignment for chart data label.
ExcelScript.ChartDataLabel	getLeft()	Method	Represents the distance  in points  from the left edge of chart data label to the left edge of chart area.
ExcelScript.ChartDataLabel	getLinkNumberFormat()	Method	Specifies if the number format is linked to the cells (so that the number format changes in the labels when it changes in the cells).
ExcelScript.ChartDataLabel	getNumberFormat()	Method	String value that represents the format code for data label.
ExcelScript.ChartDataLabel	getPosition()	Method	Value that represents the position of the data label.
ExcelScript.ChartDataLabel	getSeparator()	Method	String representing the separator used for the data label on a chart.
ExcelScript.ChartDataLabel	getShowBubbleSize()	Method	Specifies if the data label bubble size is visible.
ExcelScript.ChartDataLabel	getShowCategoryName()	Method	Specifies if the data label category name is visible.
ExcelScript.ChartDataLabel	getShowLegendKey()	Method	Specifies if the data label legend key is visible.
ExcelScript.ChartDataLabel	getShowPercentage()	Method	Specifies if the data label percentage is visible.
ExcelScript.ChartDataLabel	getShowSeriesName()	Method	Specifies if the data label series name is visible.
ExcelScript.ChartDataLabel	getShowValue()	Method	Specifies if the data label value is visible.
ExcelScript.ChartDataLabel	getText()	Method	String representing the text of the data label on a chart.
ExcelScript.ChartDataLabel	getTextOrientation()	Method	Represents the angle to which the text is oriented for the chart data label.
ExcelScript.ChartDataLabel	getTop()	Method	Represents the distance  in points  from the top edge of chart data label to the top of chart area.
ExcelScript.ChartDataLabel	getVerticalAlignment()	Method	Represents the vertical alignment of chart data label.
ExcelScript.ChartDataLabel	getWidth()	Method	Returns the width  in points  of the chart data label.
ExcelScript.ChartDataLabel	setAutoText(autoText)	Method	Specifies if the data label automatically generates appropriate text based on context.
ExcelScript.ChartDataLabel	setFormula(formula)	Method	String value that represents the formula of chart data label using A1-style notation.
ExcelScript.ChartDataLabel	setHorizontalAlignment(horizontalAlignment)	Method	Represents the horizontal alignment for chart data label.
ExcelScript.ChartDataLabel	setLeft(left)	Method	Represents the distance  in points  from the left edge of chart data label to the left edge of chart area.
ExcelScript.ChartDataLabel	setLinkNumberFormat(linkNumberFormat)	Method	Specifies if the number format is linked to the cells (so that the number format changes in the labels when it changes in the cells).
ExcelScript.ChartDataLabel	setNumberFormat(numberFormat)	Method	String value that represents the format code for data label.
ExcelScript.ChartDataLabel	setPosition(position)	Method	Value that represents the position of the data label.
ExcelScript.ChartDataLabel	setSeparator(separator)	Method	String representing the separator used for the data label on a chart.
ExcelScript.ChartDataLabel	setShowBubbleSize(showBubbleSize)	Method	Specifies if the data label bubble size is visible.
ExcelScript.ChartDataLabel	setShowCategoryName(showCategoryName)	Method	Specifies if the data label category name is visible.
ExcelScript.ChartDataLabel	setShowLegendKey(showLegendKey)	Method	Specifies if the data label legend key is visible.
ExcelScript.ChartDataLabel	setShowPercentage(showPercentage)	Method	Specifies if the data label percentage is visible.
ExcelScript.ChartDataLabel	setShowSeriesName(showSeriesName)	Method	Specifies if the data label series name is visible.
ExcelScript.ChartDataLabel	setShowValue(showValue)	Method	Specifies if the data label value is visible.
ExcelScript.ChartDataLabel	setText(text)	Method	String representing the text of the data label on a chart.
ExcelScript.ChartDataLabel	setTextOrientation(textOrientation)	Method	Represents the angle to which the text is oriented for the chart data label.
ExcelScript.ChartDataLabel	setTop(top)	Method	Represents the distance  in points  from the top edge of chart data label to the top of chart area.
ExcelScript.ChartDataLabel	setVerticalAlignment(verticalAlignment)	Method	Represents the vertical alignment of chart data label.
ExcelScript.ChartDataLabelFormat		Class	Encapsulates the format properties for the chart data labels.
ExcelScript.ChartDataLabelFormat	getBorder()	Method	Represents the border format  which includes color  linestyle  and weight.
ExcelScript.ChartDataLabelFormat	getFill()	Method	Represents the fill format of the current chart data label.
ExcelScript.ChartDataLabelFormat	getFont()	Method	Represents the font attributes (such as font name  font size  and color) for a chart data label.
ExcelScript.ChartDataLabelPosition		Class	
ExcelScript.ChartDataLabelPosition	bestFit	EnumField	
ExcelScript.ChartDataLabelPosition	bottom	EnumField	
ExcelScript.ChartDataLabelPosition	callout	EnumField	
ExcelScript.ChartDataLabelPosition	center	EnumField	
ExcelScript.ChartDataLabelPosition	insideBase	EnumField	
ExcelScript.ChartDataLabelPosition	insideEnd	EnumField	
ExcelScript.ChartDataLabelPosition	invalid	EnumField	
ExcelScript.ChartDataLabelPosition	left	EnumField	
ExcelScript.ChartDataLabelPosition	none	EnumField	
ExcelScript.ChartDataLabelPosition	outsideEnd	EnumField	
ExcelScript.ChartDataLabelPosition	right	EnumField	
ExcelScript.ChartDataLabelPosition	top	EnumField	
ExcelScript.ChartDataLabels		Class	Represents a collection of all the data labels on a chart point.
ExcelScript.ChartDataLabels	getAutoText()	Method	Specifies if data labels automatically generate appropriate text based on context.
ExcelScript.ChartDataLabels	getFormat()	Method	Specifies the format of chart data labels  which includes fill and font formatting.
ExcelScript.ChartDataLabels	getHorizontalAlignment()	Method	Specifies the horizontal alignment for chart data label.
ExcelScript.ChartDataLabels	getLinkNumberFormat()	Method	Specifies if the number format is linked to the cells.
ExcelScript.ChartDataLabels	getNumberFormat()	Method	Specifies the format code for data labels.
ExcelScript.ChartDataLabels	getPosition()	Method	Value that represents the position of the data label.
ExcelScript.ChartDataLabels	getSeparator()	Method	String representing the separator used for the data labels on a chart.
ExcelScript.ChartDataLabels	getShowBubbleSize()	Method	Specifies if the data label bubble size is visible.
ExcelScript.ChartDataLabels	getShowCategoryName()	Method	Specifies if the data label category name is visible.
ExcelScript.ChartDataLabels	getShowLegendKey()	Method	Specifies if the data label legend key is visible.
ExcelScript.ChartDataLabels	getShowPercentage()	Method	Specifies if the data label percentage is visible.
ExcelScript.ChartDataLabels	getShowSeriesName()	Method	Specifies if the data label series name is visible.
